,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300140.XSHE,中环装备,1.5218,25.1836,2.9216,11.6012,公用事业I,2010-11-12
300453.XSHE,三鑫医疗,2.4565,6.8425,0.7923,11.5785,医药生物I,2015-05-15
300085.XSHE,银之杰,2.6478,13.6787,1.5562,11.3767,计算机I,2010-05-26
300199.XSHE,翰宇药业,-15.6721,30.5718,3.4356,11.2379,医药生物I,2011-04-07
300607.XSHE,拓斯达,5.7396,10.1985,1.142,11.1982,机械设备I,2017-02-09
300577.XSHE,开润股份,6.3151,8.3879,0.9153,10.9123,纺织服装I,2016-12-21
300125.XSHE,易世达,0.4937,8.028,0.8587,10.6963,公用事业I,2010-10-13
300048.XSHE,合康新能,-1.8769,23.5184,2.5033,10.6441,电气设备I,2010-01-20
300736.XSHE,百邦科技,-0.8828,3.4126,0.36,10.5501,电子I,2018-01-09
300585.XSHE,奥联电子,0.8583,4.9638,0.5155,10.3858,汽车I,2016-12-29
300348.XSHE,长亮科技,1.5051,13.6111,1.4041,10.3157,计算机I,2012-08-17
300436.XSHE,广生堂,0.3415,5.7956,0.5897,10.1746,医药生物I,2015-04-22
300687.XSHE,赛意信息,4.0427,9.7107,0.9755,10.0459,计算机I,2017-08-03
300176.XSHE,派生科技,-1.1895,10.9468,1.0854,9.9154,非银金融I,2011-02-15
300181.XSHE,佐力药业,0.9796,14.2262,1.4059,9.8826,医药生物I,2011-02-22
300289.XSHE,利德曼,0.6597,14.4345,1.4256,9.8763,医药生物I,2012-02-16
300673.XSHE,佩蒂股份,0.9381,9.9592,0.9593,9.6324,农林牧渔I,2017-07-11
300483.XSHE,沃施股份,6.8225,41.186,3.9618,9.6192,机械设备I,2015-06-30
300212.XSHE,易华录,2.3358,37.3961,3.5944,9.6118,计算机I,2011-05-05
300175.XSHE,朗源股份,-0.1729,10.0399,0.9567,9.5285,农林牧渔I,2011-02-15
300057.XSHE,万顺新材,3.5656,33.715,3.1943,9.4745,轻工制造I,2010-02-26
300611.XSHE,美力科技,0.8352,6.6415,0.6275,9.4477,汽车I,2017-02-20
300457.XSHE,赢合科技,5.2152,32.2777,2.9848,9.2473,机械设备I,2015-05-14
300602.XSHE,飞荣达,10.7826,16.837,1.5542,9.2308,电子I,2017-01-26
300073.XSHE,当升科技,6.8574,34.6001,3.1303,9.047,化工I,2010-04-27
300025.XSHE,华星创业,0.1064,7.6616,0.6884,8.9847,通信I,2009-10-30
300351.XSHE,永贵电器,2.7362,24.5812,2.2076,8.9809,机械设备I,2012-09-20
300006.XSHE,莱美药业,1.5389,18.1427,1.6289,8.9783,医药生物I,2009-10-30
300791.XSHE,仙乐健康,3.0864,19.2475,1.7032,8.849,食品饮料I,2019-09-25
300419.XSHE,浩丰科技,1.1779,8.7234,0.7667,8.7892,计算机I,2015-01-22
300049.XSHE,福瑞股份,1.1887,15.4981,1.3589,8.7679,医药生物I,2010-01-20
300425.XSHE,中建环能,2.3351,17.5613,1.4988,8.5348,公用事业I,2015-02-16
300183.XSHE,东软载波,3.5389,28.3795,2.4015,8.4621,通信I,2011-02-22
300363.XSHE,博腾股份,7.0405,30.0166,2.5009,8.3316,医药生物I,2014-01-29
300506.XSHE,名家汇,6.972,22.3871,1.8234,8.1449,建筑装饰I,2016-03-24
300586.XSHE,美联新材,2.9817,9.8702,0.7934,8.0383,化工I,2017-01-04
300760.XSHE,迈瑞医疗,130.3692,176.2728,14.1199,8.0103,医药生物I,2018-10-16
